"Artikelnummer","Benämning","Antal","Försäljning","Moms","Försäljning (inkl. moms)","Inköpssumma","Vinst","Vinst (%)"
"BAJ318-Beige-2XL","G2 BAJ318 SUMMER Men’s Sporty Tracksuit - Beige / 2XL *KAMPANJ*",1.000,394.90,98.72,493.62,249.50,145.40,0.36819447961509242846
"BAJ318-Black-L","G2 BAJ318 SUMMER Men’s Sporty Tracksuit - Black / L *KAMPANJ*",3.000,1193.30,298.32,1491.62,249.50,943.80,0.79091594737283164334
"BAJ318-Grey-2XL","BAJ318-Grey-2XL",1.000,559.20,139.80,699.00,0.00,559.20,1.00000000000000000000
"BAJ318-Grey-L","G2 BAJ318 SUMMER Men’s Sporty Tracksuit - Grey / L *KAMPANJ*",1.000,394.90,98.72,493.62,249.50,145.40,0.36819447961509242846
"BAJ50-Black-2XL","G2 BAJ50 Men’s Sporty Multi Season Tracksuit Set - Black / 2XL *KAMPANJ*",1.000,0.00,0.00,0.00,249.50,-249.50,
"BAJ50-Black-L","G2 BAJ50 Men’s Sporty Multi Season Tracksuit Set - Black / L *KAMPANJ*",1.000,399.60,99.90,499.50,249.50,150.10,0.37562562562562562563
"BAJ50-Black-XL","G2 BAJ50 Men’s Sporty Multi Season Tracksuit Set - Black / XL *KAMPANJ*",1.000,399.60,99.90,499.50,249.50,150.10,0.37562562562562562563
"BAJ50-Grey-M","G2 BAJ50 Men’s Sporty Multi Season Tracksuit Set - Grey / M *KAMPANJ*",1.000,399.60,99.90,499.50,249.50,150.10,0.37562562562562562563
"BAJ50-L-3XL","G2 BAJ50 Men’s Sporty Multi Season Tracksuit Set - L grey / 3XL *KAMPANJ*",1.000,399.60,99.90,499.50,249.50,150.10,0.37562562562562562563
"BAJ51-Grey-M","G2 BAJ51 Men’s Sporty Multi Season Tracksuit Set - Grey / M *KAMPANJ*",1.000,399.60,99.90,499.50,249.50,150.10,0.37562562562562562563
"BAJ51-Grey-XL","G2 BAJ51 Men’s Sporty Multi Season Tracksuit Set - Grey / XL *KAMPANJ*",2.000,798.80,199.70,998.50,249.50,549.30,0.68765648472709063595
"BAJ52-Beige-M","G2 BAJ52 Men’s Sporty Multi Season Tracksuit - Beige / M *KAMPANJ*",0.000,0.00,0.00,0.00,0.00,0.00,
"BAJ52-Black-XL","BAJ52-Black-XL",1.000,399.20,99.80,499.00,0.00,399.20,1.00000000000000000000
"BAJ52-Brown-M","G2 BAJ52 Men’s Sporty Multi Season Tracksuit - Dark blue / M *KAMPANJ*",1.000,399.60,99.90,499.50,249.50,150.10,0.37562562562562562563
"BAJ52-Grey-2XL","BAJ52-Grey-2XL",0.000,0.00,0.00,0.00,0.00,0.00,
"BAJ53-Beige-3XL","G2 BAJ53 Men’s Sporty Multi Season Tracksuit - Beige / 3XL *KAMPANJ*",1.000,399.60,99.90,499.50,249.50,150.10,0.37562562562562562563
"BAJ53-Black-M","G2 BAJ53 Men’s Sporty Multi Season Tracksuit - Black / M *KAMPANJ*",0.000,0.00,0.00,0.00,0.00,0.00,
"BAJ54-Black-L","BAJ54-Black-L",1.000,399.20,99.80,499.00,0.00,399.20,1.00000000000000000000
"BAJ54-Black-XL","BAJ54-Black-XL",2.000,399.20,99.80,499.00,0.00,399.20,1.00000000000000000000
"BAJ54-Grey-L","G2 BAJ54 Men’s Sporty Multi Seasons Swedish Tra... - white / L *KAMPANJ*",5.000,1757.20,439.30,2196.50,249.50,1507.70,0.85801274755292510813
"bee46bb6","High-Performance 1668 Compression Leggings for Women",6.000,372.80,93.20,466.00,0.00,372.80,1.00000000000000000000
"BK0031-BEIGE-40","CHW BK0031 Women’s Sneakers - BEIGE / 40 *KAMPANJ*",1.000,0.00,0.00,0.00,149.50,-149.50,
"BK0031-BLACK-36","BK0031-BLACK-36",1.000,279.20,69.80,349.00,0.00,279.20,1.00000000000000000000
"BK0031-BLACK-40","CHW BK0031 Women’s Sneakers - BLACK / 40 *KAMPANJ*",2.000,0.00,0.00,0.00,299.00,-299.00,
"BK0031-GREY-37","CHW BK0031 Women’s Sneakers - GREY / 37 *KAMPANJ*",1.000,0.00,0.00,0.00,149.50,-149.50,
"BK0031-GREY-40","BK0031-GREY-40",1.000,0.00,0.00,0.00,0.00,0.00,
"C188-BEIGE-40","CH C188 Men’s Sneakers - BEIGE / 40 *KAMPANJ*",1.000,236.50,59.13,295.63,149.50,87.00,0.36786469344608879493
"C188-BEIGE-41","C188-BEIGE-41",1.000,0.00,0.00,0.00,0.00,0.00,
"C188-BEIGE-44","C188-BEIGE-44",1.000,239.20,59.80,299.00,0.00,239.20,1.00000000000000000000
"C188-KHAKI-40","C188-KHAKI-40",1.000,239.20,59.80,299.00,0.00,239.20,1.00000000000000000000
"C188-KHAKI-41","C188-KHAKI-41",1.000,0.00,0.00,0.00,0.00,0.00,
"C188-KHAKI-42","CH C188 Men’s Sneakers - KHAKI / 42 *KAMPANJ*",1.000,0.00,0.00,0.00,149.50,-149.50,
"C188-RED-41","C188-RED-41",1.000,279.20,69.80,349.00,0.00,279.20,1.00000000000000000000
"C191-BLACK-40","CH C191 Men’s Sneakers - BLACK / 40 *KAMPANJ*",1.000,0.00,0.00,0.00,149.50,-149.50,
"C191-BLACK-41","CH C191 Men’s Sneakers - BLACK / 41 *KAMPANJ*",1.000,0.00,0.00,0.00,149.50,-149.50,
"C191-BLACK-42","CH C191 Men’s Sneakers - BLACK / 42 *KAMPANJ*",2.000,0.00,0.00,0.00,149.50,-149.50,
"C191-WHITE_BEIGE-42","CH C191 Men’s Sneakers - WHITE/BEIGE / 42 *KAMPANJ*",1.000,236.50,59.13,295.63,149.50,87.00,0.36786469344608879493
"C191-WHITE_RED-40","CH C191 Men’s Sneakers - WHITE/RED / 40 *KAMPANJ*",1.000,0.00,0.00,0.00,149.50,-149.50,
"C191-WHITE_RED-44","CH C191 Men’s Sneakers - WHITE/RED / 44 *KAMPANJ*",1.000,0.00,0.00,0.00,149.50,-149.50,
"C196-BLACK-41","CH C196 Men’s Sneakers - BLACK / 41 *KAMPANJ*",1.000,0.00,0.00,0.00,149.50,-149.50,
"C196-WHITE-41","C196-WHITE-41",1.000,279.20,69.80,349.00,0.00,279.20,1.00000000000000000000
"C197-BEIGE-42","CH C197 Men’s Sneakers - BEIGE / 42 *KAMPANJ*",3.000,0.00,0.00,0.00,299.00,-299.00,
"C197-WHITE-43","CH C197 Men’s Sneakers - WHITE / 43 *KAMPANJ*",1.000,0.00,0.00,0.00,149.50,-149.50,
"C197-WHITE-44","CH C197 Men’s Sneakers - WHITE / 44 *KAMPANJ*",1.000,0.00,0.00,0.00,149.50,-149.50,
"CC06-1-BEIGE-37","CC06-1-BEIGE-37",1.000,239.20,59.80,299.00,0.00,239.20,1.00000000000000000000
"CC06-1-BEIGE-39","CC06-1-BEIGE-39",1.000,279.20,69.80,349.00,0.00,279.20,1.00000000000000000000
"CC06-1-SILVER_PINK-37","CHW CC06-1 Women’s Sneakers - SILVER/PINK / 37 *KAMPANJ*",1.000,0.00,0.00,0.00,149.50,-149.50,
"CC06-1-SILVER_PINK-38","CC06-1-SILVER_PINK-38",1.000,279.20,69.80,349.00,0.00,279.20,1.00000000000000000000
