"Artikelnummer","Benämning","Antal","Försäljning","Moms","Försäljning (inkl. moms)","Inköpssumma","Vinst","Vinst (%)"
"C197-BEIGE-42","CH C197 Men’s Sneakers - BEIGE / 42 *KAMPANJ*",3.000,0.00,0.00,0.00,448.50,-448.50,
"C197-RED-43","CH C197 Men’s Sneakers - RED / 43 *KAMPANJ*",1.000,0.00,0.00,0.00,149.50,-149.50,
"C197-WHITE-42","CH C197 Men’s Sneakers - WHITE / 42 *KAMPANJ*",1.000,159.20,39.80,199.00,149.50,9.70,0.06092964824120603015
"C197-WHITE-44","CH C197 Men’s Sneakers - WHITE / 44 *KAMPANJ*",1.000,159.20,39.80,199.00,149.50,9.70,0.06092964824120603015
"CC06-1-BEIGE-38","CHW CC06-1 Women’s Sneakers - BEIGE / 38 *KAMPANJ*",2.000,159.20,39.80,199.00,299.00,-139.80,-0.87814070351758793970
"CC06-1-SILVER_PINK-37","CHW CC06-1 Women’s Sneakers - SILVER/PINK / 37 *KAMPANJ*",1.000,0.00,0.00,0.00,149.50,-149.50,
"CC06-1-SILVER_PINK-40","CHW CC06-1 Women’s Sneakers - SILVER/PINK / 40 *KAMPANJ*",1.000,159.20,39.80,199.00,149.50,9.70,0.06092964824120603015
"CC06-1-WHITE-36","CHW CC06-1 Women’s Sneakers - WHITE / 36 *KAMPANJ*",4.000,318.40,79.60,398.00,598.00,-279.60,-0.87814070351758793970
"CC06-1-WHITE-39","CHW CC06-1 Women’s Sneakers - WHITE / 39 *KAMPANJ*",3.000,318.40,79.60,398.00,448.50,-130.10,-0.40860552763819095477
"CC08-BEIGE-36","CHW CC08 Women’s Sneakers - BEIGE / 36 *KAMPANJ*",1.000,0.00,0.00,0.00,149.50,-149.50,
"CC08-BEIGE-37","CHW CC08 Women’s Sneakers - BEIGE / 37 *KAMPANJ*",1.000,0.00,0.00,0.00,149.50,-149.50,
"CC08-BEIGE-38","CHW CC08 Women’s Sneakers - BEIGE / 38 *KAMPANJ*",1.000,159.20,39.80,199.00,149.50,9.70,0.06092964824120603015
"CC08-BEIGE-39","CHW CC08 Women’s Sneakers - BEIGE / 39 *KAMPANJ*",2.000,318.40,79.60,398.00,149.50,168.90,0.53046482412060301508
"CC08-BEIGE-40","CHW CC08 Women’s Sneakers - BEIGE / 40 *KAMPANJ*",1.000,159.20,39.80,199.00,149.50,9.70,0.06092964824120603015
"CC08-GREY-36","CHW CC08 Women’s Sneakers - GREY / 36 *KAMPANJ*",1.000,0.00,0.00,0.00,149.50,-149.50,
"CC08-GREY-37","CHW CC08 Women’s Sneakers - GREY / 37 *KAMPANJ*",1.000,159.20,39.80,199.00,149.50,9.70,0.06092964824120603015
"CC08-GREY-40","CHW CC08 Women’s Sneakers - GREY / 40 *KAMPANJ*",1.000,159.20,39.80,199.00,149.50,9.70,0.06092964824120603015
"CF151-B-US","CF151 Sweater Women’s - Black / Universal Size *KAMPANJ*",3.000,525.60,131.40,657.00,448.50,77.10,0.14668949771689497717
"CF151-W-US","CF151 Sweater Women’s - White / Universal Size *KAMPANJ*",2.000,286.40,71.60,358.00,299.00,-12.60,-0.04399441340782122905
"CF1-B-US","CF1 Sweater Women’s - Beige / Universal Size *KAMPANJ*",10.000,1098.40,274.60,1373.00,1495.00,-396.60,-0.36107064821558630736
"CF1-G-US","CF1 Sweater Women’s - Gray / Universal Size *KAMPANJ*",3.000,429.60,107.40,537.00,448.50,-18.90,-0.04399441340782122905
"CF2-B-US","CF2 Sweater Women’s - Beige / Universal Size *KAMPANJ*",5.000,1100.00,275.00,1375.00,747.50,352.50,0.32045454545454545455
"CF4-B-US","CF4 Sweater Women’s - Black / Universal Size *KAMPANJ*",3.000,621.60,155.40,777.00,448.50,173.10,0.27847490347490347490
"CF5-B-US","CF5 Women’s Knit Sweater - Black / Universal Size *KAMPANJ*",2.000,439.20,109.80,549.00,299.00,140.20,0.31921675774134790528
"CF6-B-US","CF6 Sweater Women’s - Black / Universal Size *KAMPANJ*",2.000,478.40,119.60,598.00,299.00,179.40,0.37500000000000000000
"CF6-W-US","CF6 Sweater Women’s - White / Universal Size *KAMPANJ*",2.000,286.40,71.60,358.00,299.00,-12.60,-0.04399441340782122905
"CHB335-Beige-11-12","MG CHB335 Childrens Sporty Winter Tracksuit - Beige / 11-12 *KAMPANJ*",1.000,159.20,39.80,199.00,164.50,-5.30,-0.03329145728643216080
"CHB335-Beige-7-8","MG CHB335 Childrens Sporty Winter Tracksuit - Beige / 7-8 *KAMPANJ*",1.000,279.60,69.90,349.50,164.50,115.10,0.41165951359084406295
"CHB335-Black-7-8","MG CHB335 Childrens Sporty Winter Tracksuit - Black / 7-8 *KAMPANJ*",2.000,438.80,109.70,548.50,329.00,109.80,0.25022789425706472197
"CHB335-Brown-7-8","MG CHB335 Childrens Sporty Winter Tracksuit - Brown / 7-8 *KAMPANJ*",1.000,159.20,39.80,199.00,164.50,-5.30,-0.03329145728643216080
"CK22-BLACK-38","CHW CK22 Women’s Sneakers - BLACK / 38 *KAMPANJ*",2.000,0.00,0.00,0.00,299.00,-299.00,
"CK22-BLACK-39","CHW CK22 Women’s Sneakers - BLACK / 39 *KAMPANJ*",2.000,0.00,0.00,0.00,299.00,-299.00,
"CK22-WHITE-40","CHW CK22 Women’s Sneakers - WHITE / 40 *KAMPANJ*",1.000,0.00,0.00,0.00,149.50,-149.50,
"D01-BEIGE-36","DY D01 Women’s Slippers - BEIGE / 36 *KAMPANJ*",2.000,110.40,27.60,138.00,129.00,-18.60,-0.16847826086956521739
"D01-BEIGE-37","DY D01 Women’s Slippers - BEIGE / 37 *KAMPANJ*",1.000,55.20,13.80,69.00,64.50,-9.30,-0.16847826086956521739
"D01-BLACK-37","DY D01 Women’s Slippers - BLACK / 37 *KAMPANJ*",1.000,55.20,13.80,69.00,64.50,-9.30,-0.16847826086956521739
"D02-BLACK-36","DY D02 Women’s Slippers - BLACK / 36 *KAMPANJ*",1.000,55.20,13.80,69.00,64.50,-9.30,-0.16847826086956521739
"D02-BLACK-37","DY D02 Women’s Slippers - BLACK / 37 *KAMPANJ*",1.000,79.20,19.80,99.00,64.50,14.70,0.18560606060606060606
"D02-NAVY-40","DY D02 Women’s Slippers - NAVY / 40 *KAMPANJ*",1.000,55.20,13.80,69.00,0.00,55.20,1.00000000000000000000
"D71-BROWN-41","L6627 Sneakers - Black / 41 *KAMPANJ*",1.000,79.20,19.80,99.00,84.50,-5.30,-0.06691919191919191919
"D71-BROWN-43","L6627 Sneakers - Black / 43 *KAMPANJ*",1.000,79.20,19.80,99.00,84.50,-5.30,-0.06691919191919191919
"D8666-10-Louis-Brown","MS D8666-10 Women'S Handbag - Brown *KAMPANJ*",33.000,2061.12,515.28,2576.40,2985.00,-923.88,-0.44824173265020959478
"D8666-22-Black","MS D8666-22 Women's Handbag - Black *KAMPANJ*",11.000,348.00,87.00,435.00,796.00,-448.00,-1.2873563218390805
"DL596-Beige-OneSize","MG DL596 Women’s Sporty Long Cotton Dress - Beige / One Size *KAMPANJ*",3.000,1357.60,339.40,1697.00,493.50,864.10,0.63649086623453152622
"DL596-Black-OneSize","MG DL596 Women’s Sporty Long Cotton Dress - Black / One Size",1.000,559.20,139.80,699.00,164.50,394.70,0.70582975679542203147
"DV507-Black-XL","MG DV507 Women’s Sporty Winter Tracksuit - Black / XL *KAMPANJ*",1.000,80.00,20.00,100.00,249.50,-169.50,-2.1187500000000000
"DV507-Grey-L","MG DV507 Women’s Sporty Winter Tracksuit - Grey / L *KAMPANJ*",2.000,798.40,199.60,998.00,499.00,299.40,0.37500000000000000000
"DV507-Grey-M","MG DV507 Women’s Sporty Winter Tracksuit - Grey / M *KAMPANJ*",0.000,0.00,0.00,0.00,0.00,0.00,
"EE06-BLACK-37","CHW EE06 Women’s Sneakers - BLACK / 37 *KAMPANJ*",3.000,318.40,79.60,398.00,299.00,19.40,0.06092964824120603015
"EE06-BLACK-39","CHW EE06 Women’s Sneakers - BLACK / 39 *KAMPANJ*",1.000,159.20,39.80,199.00,0.00,159.20,1.00000000000000000000
"EE06-BLACK-40","CHW EE06 Women’s Sneakers - BLACK / 40 *KAMPANJ*",1.000,159.20,39.80,199.00,149.50,9.70,0.06092964824120603015
"EE06-GREY-36","CHW EE06 Women’s Sneakers - GREY / 36 *KAMPANJ*",2.000,0.00,0.00,0.00,299.00,-299.00,
"EE06-GREY-40","CHW EE06 Women’s Sneakers - GREY / 40 *KAMPANJ*",2.000,319.20,79.80,399.00,299.00,20.20,0.06328320802005012531
"EE06-PINK-37","CHW EE06 Women’s Sneakers - PINK / 37 *KAMPANJ*",2.000,0.00,0.00,0.00,299.00,-299.00,
"EE06-PINK-40","CHW EE06 Women’s Sneakers - PINK / 40 *KAMPANJ*",1.000,159.20,39.80,199.00,149.50,9.70,0.06092964824120603015
"G8666-31-London-Brown","MS G8666-31 Women's Handbag - Brown *KAMPANJ*",13.000,809.76,202.44,1012.20,1094.50,-284.74,-0.35163505236119344003
"G8666-38-Coffee","MS G8666-38 Women's Handbag - Coffee *KAMPANJ*",1.000,199.20,49.80,249.00,99.50,99.70,0.50050200803212851406
"G8666-4-Milk-Coffee","MS G8666-4 Women's Handbag - Milk Coffee *KAMPANJ*",1.000,79.20,19.80,99.00,99.50,-20.30,-0.25631313131313131313
"G8666-54-Coffee-Brown","MS G8666-54 Women's Handbag - Coffee Brown *KAMPANJ*",3.000,158.40,39.60,198.00,298.50,-140.10,-0.88446969696969696970
"G8666-57-CHOCOLATE","MS G8666-57 Women'S Handbag - Chocolate *KAMPANJ*",2.000,158.40,39.60,198.00,199.00,-40.60,-0.25631313131313131313
"GD303-Beige-L","MG GD303 Women’s Sporty Winter Tracksuit - Green / L *KAMPANJ*",9.000,1432.80,358.20,1791.00,1795.50,-362.70,-0.25314070351758793970
"GD303-Beige-M","MG GD303 Women’s Sporty Winter Tracksuit - Green / M *KAMPANJ*",5.000,796.00,199.00,995.00,798.00,-2.00,-0.00251256281407035176
"GD303-Beige-XL","MG GD303 Women’s Sporty Winter Tracksuit - Green / XL *KAMPANJ*",3.000,477.60,119.40,597.00,399.00,78.60,0.16457286432160804020
"GD303-Black-L","MG GD303 Women’s Sporty Winter Tracksuit - Black / L *KAMPANJ*",3.000,477.60,119.40,597.00,598.50,-120.90,-0.25314070351758793970
"GD303-Black-M","MG GD303 Women’s Sporty Winter Tracksuit - Black / M *KAMPANJ*",3.000,477.60,119.40,597.00,598.50,-120.90,-0.25314070351758793970
"GD303-Black-XL","MG GD303 Women’s Sporty Winter Tracksuit - Black / XL *KAMPANJ*",1.000,159.20,39.80,199.00,199.50,-40.30,-0.25314070351758793970
"GD303-Brown-L","MG GD303 Women’s Sporty Winter Tracksuit - Brown / L *KAMPANJ*",1.000,159.20,39.80,199.00,199.50,-40.30,-0.25314070351758793970
"GD303-Brown-M","MG GD303 Women’s Sporty Winter Tracksuit - Brown / M *KAMPANJ*",1.000,159.20,39.80,199.00,199.50,-40.30,-0.25314070351758793970
"GD303-Brown-XL","MG GD303 Women’s Sporty Winter Tracksuit - Brown / XL *KAMPANJ*",1.000,159.20,39.80,199.00,199.50,-40.30,-0.25314070351758793970
"GD303-Grey-M","MG GD303 Women’s Sporty Winter Tracksuit - Grey / M *KAMPANJ*",1.000,159.20,39.80,199.00,199.50,-40.30,-0.25314070351758793970
"GD576-Beige-M","MG GD576 Women’s Sporty Winter Tracksuit - Green / M *KAMPANJ*",2.000,318.40,79.60,398.00,199.50,118.90,0.37342964824120603015
"GD576-Beige-XL","MG GD576 Women’s Sporty Winter Tracksuit - Green / XL *KAMPANJ*",1.000,159.20,39.80,199.00,0.00,159.20,1.00000000000000000000
