"""Preliminär Huvudbok""";;;;;;;;
Samis Jackets AB;;;;;;;;
559489-5301;;;;;;;;
"""Utskriftsdatum"": den 6 January 2026 18:53:59";;;;;;;;
;;;;;;;;
"""Räkenskapsår:"" 2024-07-01 - 2025-12-31";;;;;;;;
"""Avser perioden"" 2024-07-01 - 2025-12-31";;;;;;;;
;;;;;;;;
;;;;;;;;
"""Konto""";"""Verifikation""";"""Datum""";"""Beskrivning""";"""Momskod""";"""Moms""";"""Debet""";"""Kredit""";"""Saldo"""
1220 Inventarier och verktyg;;;;;;;;
;A 575;2025-03-10;B03102263589 - Worldline kortbetalning;;;447,75;;7 898,51
;A 576;2025-03-10;Bankgiro - Avgift med moms;;;;802,00;7 096,51
;A 399;2025-03-11;Topped up balance;;;;6 499,00;597,51
;A 574;2025-03-11;B03112280424 - Worldline kortbetalning;;;596,99;;1 194,50
;A 573;2025-03-17;B03152389857 - Worldline kortbetalning;;;1 242,74;;2 437,24
;A 572;2025-03-18;B03182456390 - Worldline kortbetalning;;;2 811,85;;5 249,09
;A 571;2025-03-20;B03202508892 - Worldline kortbetalning;;;4 474,49;;9 723,58
;A 570;2025-03-21;B03212537039 - Worldline kortbetalning;;;247,75;;9 971,33
;A 567;2025-03-24;B03232597052 - Worldline kortbetalning;;;1 966,11;;11 937,44
;A 568;2025-03-24;Bankgiro - Avgift med moms;;;;41,00;11 896,44
;A 569;2025-03-24;Bankgiro - Avgift med moms;;;;156,00;11 740,44
;A 566;2025-03-26;B03262657151 - Worldline kortbetalning;;;99,49;;11 839,93
;A 563;2025-03-27;Bankgiro - Ej avdragsgill;;;;4 321,00;7 518,93
;A 564;2025-03-27;Bankgiro - Ej avdragsgill;;;;2 371,00;5 147,93
;A 565;2025-03-27;Bankgiro - Avgift med moms;;;;624,00;4 523,93
;A 562;2025-03-28;B03282715066 - Worldline kortbetalning;;;5 368,97;;9 892,90
;A 558;2025-03-31;B03312794595 - Worldline kortbetalning;;;2 194,95;;12 087,85
;A 559;2025-03-31;B03292744665 - Worldline kortbetalning;;;1 415,87;;13 503,72
;A 560;2025-03-31;Repayment of Director's Loan;;;;8 300,00;5 203,72
;A 561;2025-03-31;B03302773435 - Worldline kortbetalning;;;6 521,20;;11 724,92
;A 374;2025-04-01;Topped up balance;;;;2 500,00;9 224,92
;A 556;2025-04-01;B04012811476 - Worldline kortbetalning;;;2 410,38;;11 635,30
;A 557;2025-04-01;Bankgiro - Ej avdragsgill;;;;976,00;10 659,30
;A 555;2025-04-02;B04022838225 - Worldline kortbetalning;;;2 269,57;;12 928,87
;A 554;2025-04-03;B04032867693 - Worldline kortbetalning;;;9 772,84;;22 701,71
;A 368;2025-04-07;Topped up balance;;;;2 000,00;20 701,71
;A 552;2025-04-07;B04052926667 - Worldline kortbetalning;;;3 713,27;;24 414,98
;A 553;2025-04-07;B04072977639 - Worldline kortbetalning;;;1 069,62;;25 484,60
;A 550;2025-04-08;B04082995583 - Worldline kortbetalning;;;3 466,21;;28 950,81
;A 551;2025-04-08;Lokalhyra - med moms;;;;20 566,00;8 384,81
;A 549;2025-04-09;B04093019900 - Worldline kortbetalning;;;816,47;;9 201,28
;A 366;2025-04-10;Topped up balance;;;;5 000,00;4 201,28
;A 548;2025-04-10;B04103048976 - Worldline kortbetalning;;;4 995,88;;9 197,16
;A 545;2025-04-14;B04133138224 - Worldline kortbetalning;;;2 306,99;;11 504,15
;A 546;2025-04-14;Bankgiro - Avgift med moms;;;;248,00;11 256,15
;A 547;2025-04-14;Bankgiro - Avgift med moms;;;;500,00;10 756,15
;A 543;2025-04-15;B04153179106 - Worldline kortbetalning;;;3 028,76;;13 784,91
;A 544;2025-04-15;Bankgiro - Avgift med moms;;;;98,00;13 686,91
;A 540;2025-04-22;B04183262982 - Worldline kortbetalning;;;4 002,17;;17 689,08
;A 541;2025-04-22;B04193286201 - Worldline kortbetalning;;;2 605,29;;20 294,37
;A 542;2025-04-22;B04203301238 - Worldline kortbetalning;;;401,98;;20 696,35
;A 539;2025-04-23;B04233349233 - Worldline kortbetalning;;;4 695,37;;25 391,72
;A 538;2025-04-24;B04243377627 - Worldline kortbetalning;;;3 597,89;;28 989,61
;A 537;2025-04-25;B04253406484 - Worldline kortbetalning;;;3 844,65;;32 834,26
;A 533;2025-04-28;B04263436358 - Worldline kortbetalning;;;2 565,08;;35 399,34
;A 534;2025-04-28;B04273467432 - Worldline kortbetalning;;;1 613,87;;37 013,21
;A 535;2025-04-28;Bankgiro - Avgift med moms;;;;624,00;36 389,21
;A 536;2025-04-28;Repayment of Director's Loan;;;;5 000,00;31 389,21
;A 530;2025-04-29;B04293507506 - Worldline kortbetalning;;;5 078,43;;36 467,64
;A 531;2025-04-29;Lokalhyra - med moms;;;;1 896,00;34 571,64
;A 532;2025-04-29;Lokalhyra - med moms;;;;20 042,00;14 529,64
;A 529;2025-04-30;B04303534914 - Worldline kortbetalning;;;5 729,07;;20 258,71
;A 527;2025-05-02;B05023592847 - Worldline kortbetalning;;;729,33;;20 988,04
;A 528;2025-05-02;B05013562069 - Worldline kortbetalning;;;5 770,76;;26 758,80
;A 523;2025-05-05;B05053663933 - Worldline kortbetalning;;;3 009,60;;29 768,40
;A 524;2025-05-05;Lokalhyra - med moms;;;;19 983,00;9 785,40
;A 525;2025-05-05;Lokalhyra - med moms;;;;1 896,00;7 889,40
;A 526;2025-05-05;Bankgiro - Avgift med moms;;;;125,00;7 764,40
;A 521;2025-05-07;B05073707835 - Worldline kortbetalning;;;1 963,10;;9 727,50
;A 522;2025-05-07;Bankgiro - Avgift med moms;;;;198,00;9 529,50
;A 520;2025-05-09;B05093766218 - Worldline kortbetalning;;;6 013,72;;15 543,22
;A 517;2025-05-12;B05123850534 - Worldline kortbetalning;;;2 702,41;;18 245,63
;A 518;2025-05-12;B05113826980 - Worldline kortbetalning;;;3 077,51;;21 323,14
;A 519;2025-05-12;B05103798167 - Worldline kortbetalning;;;2 723,27;;24 046,41
;A 353;2025-05-13;Topped up balance;;;;10 000,00;14 046,41
;A 516;2025-05-13;B05133868910 - Worldline kortbetalning;;;1 893,46;;15 939,87
;A 515;2025-05-14;B05143893340 - Worldline kortbetalning;;;1 773,07;;17 712,94
;A 514;2025-05-16;Bankgiro - Avgift med moms;;;;248,00;17 464,94
;A 351;2025-05-19;Topped up balance;;;;1 500,00;15 964,94
;A 511;2025-05-19;B05194034090 - Worldline kortbetalning;;;2 443,71;;18 408,65
;A 512;2025-05-19;B05184011681 - Worldline kortbetalning;;;3 537,99;;21 946,64
;A 513;2025-05-19;B05173983976 - Worldline kortbetalning;;;9 459,46;;31 406,10
;A 510;2025-05-20;Repayment of Director's Loan;;;10 000,00;;41 406,10
;A 509;2025-05-21;B05214076902 - Worldline kortbetalning;;;3 238,64;;44 644,74
;A 508;2025-05-23;B05234137836 - Worldline kortbetalning;;;2 371,07;;47 015,81
;A 504;2025-05-26;B05264219988 - Worldline kortbetalning;;;2 397,90;;49 413,71
;A 505;2025-05-26;B05254196636 - Worldline kortbetalning;;;4 299,35;;53 713,06
;A 506;2025-05-26;El i butiken - med moms;;;;816,00;52 897,06
;A 507;2025-05-26;Repayment of Director's Loan;;;;12 906,00;39 991,06
;A 501;2025-05-27;Repayment of Director's Loan;;;;1 000,00;38 991,06
;A 502;2025-05-27;Repayment of Director's Loan;;;;6 000,00;32 991,06
;A 503;2025-05-27;abdi ln maj;;;;16 884,00;16 107,06
;A 500;2025-05-30;B05294294981 - Worldline kortbetalning;;;4 690,26;;20 797,32
;A 495;2025-06-02;51500954163 - Insñttning;;;8 985,00;;29 782,32
;A 496;2025-06-02;51500997244 - Insñttning;;;5 098,00;;34 880,32
;A 497;2025-06-02;Bankgiro - Avgift med moms;;;;684,00;34 196,32
;A 498;2025-06-02;B05314341919 - Worldline kortbetalning;;;4 914,25;;39 110,57
;A 499;2025-06-02;B06014371231 - Worldline kortbetalning;;;2,49;;39 113,06
;A 492;2025-06-03;B06034410431 - Worldline kortbetalning;;;2 463,08;;41 576,14
;A 493;2025-06-03;Bankgiro - Avgift med moms;;;;248,00;41 328,14
;A 494;2025-06-03;Repayment of Director's Loan;;;;25 000,00;16 328,14
;A 491;2025-06-04;Fora Abdirabi;;;;1 171,61;15 156,53
;A 489;2025-06-05;B06054467666 - Worldline kortbetalning;;;3 145,16;;18 301,69
;A 490;2025-06-05;Bolag verket;;;;1 900,00;16 401,69
;A 348;2025-06-09;Topped up balance;;;;1 000,00;15 401,69
;A 487;2025-06-09;B06094571959 - Worldline kortbetalning;;;1 426,23;;16 827,92
;A 488;2025-06-09;B06074525843 - Worldline kortbetalning;;;4 910,27;;21 738,19
;A 485;2025-06-11;B06114611917 - Worldline kortbetalning;;;3 121,28;;24 859,47
;A 486;2025-06-11;abdi skatt;;;;16 233,00;8 626,47
;A 484;2025-06-13;B06134669729 - Worldline kortbetalning;;;6 105,27;;14 731,74
;A 346;2025-06-16;Topped up balance;;;;3 000,00;11 731,74
;A 483;2025-06-16;B06154731299 - Worldline kortbetalning;;;2 244,68;;13 976,42
